ZaporednaStevilkaPN;KlasifikacijaNesrece;UpravnaEnotaStoritve;DatumPN;UraPN;VNaselju;Lokacija;VrstaCesteNaselja;SifraCesteNaselja;TekstCesteNaselja;SifraOdsekaUlice;TekstOdsekaUlice;StacionazaDogodka;OpisKraja;VzrokNesrece;TipNesrece;VremenskeOkoliscine;StanjePrometa;StanjeVozisca;VrstaVozisca;GeoKoordinataX;GeoKoordinataY;ZaporednaStevilkaOsebeVPN;Povzrocitelj;Starost;Spol;UEStalnegaPrebivalisca;Drzavljanstvo;PoskodbaUdelezenca;VrstaUdelezenca;UporabaVarnostnegaPasu;VozniskiStazVLetih;VozniskiStazVMesecih;VrednostAlkotesta;VrednostStrokovnegaPregleda
5856;Z LAŽJO TELESNO POŠKODBO;;05.05.2026;11;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;64033;MARIBOR;00266;MAISTROVA ULICA;1;KRIŽIŠÈE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;TRÈENJE V KOLESARJA;JASNO;GOST;SUHO;ASFALT;158378;549864;2;POVZROÈITELJ;67;MOŠKI;PESNICA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;47;11;,00;,00
5857;Z LAŽJO TELESNO POŠKODBO;;20.04.2026;8;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;18035;KRANJ;00122;VALJAVÈEVA ULICA;1;CESTA;NEPRAVILNOSTI PEŠCA;POVOŽENJE PEŠCA;JASNO;TEKOÈ (NORMALEN);SUHO;ASFALT;123482;450441;1;UDELEŽENEC;27;MOŠKI;KRANJ;KOSOVO;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;0;0;,00;,00
5857;Z LAŽJO TELESNO POŠKODBO;;20.04.2026;8;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;18035;KRANJ;00122;VALJAVÈEVA ULICA;1;CESTA;NEPRAVILNOSTI PEŠCA;POVOŽENJE PEŠCA;JASNO;TEKOÈ (NORMALEN);SUHO;ASFALT;123482;450441;2;POVZROÈITELJ;8;MOŠKI;;KOSOVO;LAŽJA TELESNA POŠKODBA;PEŠEC;NE;0;0;,00;,00
5858;Z LAŽJO TELESNO POŠKODBO;;04.05.2026;10;NE;CESTA;REGIONALNA CESTA;00201;KORENSKO SEDLO - HRUŠICA;00203;KR.GORA-MOJSTRANA-DOVJE;500;KOLESAR. ST. ALI PLOÈNIK;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V OBJEKT;JASNO;TEKOÈ (NORMALEN);SUHO;ASFALT;150265;407462;1;POVZROÈITELJ;54;MOŠKI;JESENICE;SLOVENIJA;LAŽJA TELESNA POŠKODBA;OSTALO;DA;38;11;,00;,00
5858;Z LAŽJO TELESNO POŠKODBO;;04.05.2026;10;NE;CESTA;REGIONALNA CESTA;00201;KORENSKO SEDLO - HRUŠICA;00203;KR.GORA-MOJSTRANA-DOVJE;500;KOLESAR. ST. ALI PLOÈNIK;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V OBJEKT;JASNO;TEKOÈ (NORMALEN);SUHO;ASFALT;150265;407462;2;UDELEŽENEC;52;MOŠKI;GROSUPLJE;SLOVENIJA;;OSTALO;;0;0;,00;,00
5859;Z LAŽJO TELESNO POŠKODBO;;09.05.2026;13;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;38027;ÈREŠNJICE-NOVO MESTO;0;NI ODSEKOV;98;CESTA;NEPRILAGOJENA HITROST;OSTALO;JASNO;REDEK;SUHO;ASFALT;78277;515494;1;POVZROÈITELJ;84;MOŠKI;;SLOVENIJA;LAŽJA TELESNA POŠKODBA;KOLESAR;DA;0;0;,03;,00
5860;Z LAŽJO TELESNO POŠKODBO;;09.05.2026;19;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;13004;IZOLA;00095;POLJE;21;KOLESAR. ST. ALI PLOÈNIK;NEPRAVILNO PREHITEVANJE;TRÈENJE V KOLESARJA;JASNO;TEKOÈ (NORMALEN);SUHO;ASFALT;45563;396620;1;UDELEŽENEC;69;MOŠKI;;SLOVENIJA;LAŽJA TELESNA POŠKODBA;KOLESAR;;0;0;,00;,00
5861;Z LAŽJO TELESNO POŠKODBO;;01.05.2026;15;NE;CESTA;LOKALNA CESTA;95635;ZENKOVCI-BELI KRIŽ;0;NI ODSEKOV;29;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V OBJEKT;JASNO;REDEK;SUHO;ASFALT;177287;582799;1;POVZROÈITELJ;18;MOŠKI;MURSKA SOBOTA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;00;03;,00;,00
5862;Z MATERIALNO ŠKODO;;07.05.2026;13;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;49019;SLOVENJ GRADEC;00003;CELJSKA CESTA;10;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;OPLAŽENJE;NEZNANO;NEZNANO;SUHO;OSTALO;151926;506049;1;UDELEŽENEC;19;MOŠKI;VELENJE;SLOVENIJA;;OSTALO;;0;0;,00;,00
5863;Z MATERIALNO ŠKODO;;04.05.2026;10;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00052;BREZOVICA-VRHNIKA;600;CESTA;OSTALO;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;JASNO;GOST;SUHO;ASFALT;98414;455608;1;POVZROÈITELJ;57;MOŠKI;TOLMIN;SRBIJA;BREZ POŠKODBE;VOZNIK AVTOBUSA;DA;01;04;,00;,00
